messages,target,label
"
Secular laws seem to value criminal life more than the victims life,
Islam places the rights of society and every member in it above 
the rights of the individual, this is what I call true human rights.


As a Muslim living in a non-Muslim land I am bound by the laws of the land
I live in, but I do not disregard Islamic Law it still remains a part of my 
life. If the laws of a land conflict with my religion to such an extent
that I am prevented from being allowed to practise my religion then I must 
leave the land. So in a way Islamic law does take precendence over secular law
but we are instructed to follow the laws of the land that we live in too.

In an Islamic state (one ruled by a Khaliphate) religions other than Islam
are allowed to rule by their own religious laws provided they don't affect
the genral population and don't come into direct conflict with state 
laws, Dhimmis (non-Muslim population) are exempt from most Islamic laws
on religion, such as fighting in a Jihad, giving Zakat (alms giving)
etc but are given the benefit of these two acts such as Military
protection and if they are poor they will receive Zakat.


After the Fatwa didn't Rushdie re-affirm his faith in Islam, didn't
he go thru' a very public ""conversion"" to Islam? If so he is binding
himself to Islamic Laws. He has to publicly renounce in his belief in Islam
so the burden is on him.

Mas

",0,alt.atheism
"BR> From: wpr@atlanta.dg.com (Bill Rawlins)
BR> Newsgroups: alt.atheism
BR> Organization: DGSID, Atlanta, GA

BR>        Since you have referred to the Messiah, I assume you
BR> are referring         to the New Testament.  Please detail
BR> your complaints or e-mail if         you don't want to post.
BR>  First-century Greek is well-known and        
BR> well-understood.  Have you considered Josephus, the Jewish
BR> Historian,         who also wrote of Jesus?  In addition,
BR> the four gospel accounts		 are very much in harmony.

It is also well known that the comments in Josephus relating to Jesus were
inserted (badly) by later editors.  As for the four gospels being in harmony
on the issue of Jesus...  You know not of what you speak.  Here are a few
contradictions starting with the trial and continuing through the assension.


Acts 1:18: ""Now this man (Judas) purchased a field with the reward of 
iniquity; and falling headlong, he burst asunder in the midst, and all his 
bowels gushed out.""

Matt. 27:5-7: ""And he (Judas) cast down the pieces of silver in the temple, 
and departed, and went and hanged himself.  And the chief priests...bought 
with them the potter's field.""


Before the cock crow - Matthew 26:34

Before the cock crow twice - Mark 14:30


MAR 14:72  And the second time the cock crew. And Peter called to mind  the 
word  that  Jesus  said unto him, Before the cock crow twice, thou shalt deny
me thrice. And when he thought thereon, he wept.

MAT 26:74  Then began he to curse and to swear,  saying,  I  know not the man.
And immediately the cock crew.
MAT 26:75  And Peter remembered the word  of  Jesus,  which  said unto him,
Before the cock crow, thou shalt deny me thrice. And he went out, and wept
bitterly.

LUK 22:60  And Peter said, Man, I know not what thou sayest.  And immediately,
while he yet spake, the cock crew.
LUK 22:61  And the Lord turned, and looked upon Peter. And  Peter remembered
the word of the Lord, how he had said unto him, Before the cock crow, thou
shalt deny me thrice.

JOH 13:38  Jesus answered him, Wilt thou lay down thy life for my sake? 
Verily,
 verily, I say unto thee, The cock shall not crow, still thou hast denied me
thrice.

JOH 18:27  Peter then denied  again:  and  immediately  the  cock crew.


(This is interesting because Matthew quotes a prophesy that was never made! 
Not the only time he does this either...)

MAT 27:9  Then was fulfilled that which was spoken by Jeremy  the prophet, 
saying,  And they took the thirty pieces of silver, the price of him that was
valued, whom they of the children of Israel did value;

zechariah 11:11-13
(nothing in Jeremiah remotely like)

What was the color of the robe placed on Jesus during his trial?

scarlet - Matthew 27:28

purple John 19:2


Mark says the third hour, or 9 a.m., but John says the sixth hour (noon) was
when the sentence was passed.


Matthew  --  This is Jesus the king of the Jews
Mark	 --  The King of the Jews
Luke	 --  This is the king of the Jews
John	 --  Jesus of Nazareth the king of the Jews


vinegar - Matthew 27:34

wine with myrrh - Mark 15:23


Matthew said many stood far off, including Mary Magdaline, Mary the mother of
James, and the mother of Zebedee's children.  Mark and Luke speak of many far
off, and Mark includes Mary Magdeline and Mary the mother of James the less.
John says that Jesus's mother stood at the cross, along with her sister and
Mary Magdalene.


Matt.27:46,50: ""And about the ninth hour Jesus cried with a loud voice, 
saying, ""Eli, eli, lama sabachthani?"" that is to say, ""My God, my God, why
hast thou forsaken me?""  ...Jesus, when he cried again with a loud voice,
yielded u the ghost.""

Luke23:46: ""And when Jesus had cried with a loud voice, he said, ""Father, unto
 thy hands I commend my spirit:"" and having said thus, he gave up the ghost.""

John19:30: ""When Jesus therefore had received the vinegar, he said, ""It is 
finished:"" and he bowed his head, and gave up the ghost.""


Matthew says that the veil of the temple was rent, that there was an
earthquake, and that it was dark from the sixth to the ninth hour, that graves
opened and bodies of the saints arose and went into Jeruselem, appearing to
many (beating Jesus to the resurection). Mark and Luke speak of darkness and
the veil of the temple being rent but mention no earthquake or risen saints. 
John is the only one who mentions Jesus's side being peirced.


Matthew says the Jews asked Pilate for a guard to prevent the body from being
stolen by the disciples, and for the tomb to be sealed. All of this was
supposedly done, but the other gospels do not mention these precautions.

Depends where you look; Matthew 12:40 gives Jesus prophesying that he will
spend ""three days and three nights in the heart of the earth"", and Mark 10:34
has ""after three days (meta treis emeras) he will rise again"". As far as I can
see from a quick look, the prophecies have ""after three days"", but the
post-resurrection narratives have ""on the third day"".


Matthew says Sunday at dawn, Mark says the sun was rising, and John says it
was dark.


MAT 28:1  In the end of the sabbath, as it began to  dawn  toward the first
day of the week, came Mary Magdalene and the other Mary to see the sepulchre.

MAR 16:1  And when the sabbath was past, Mary Magdalene, and Mary the  mother 
of  James, and Salome, had bought sweet spices, that they might come and
anoint him.

JOH 20:1  The first day of the week cometh Mary Magdalene  early, when  it 
was  yet  dark, unto the sepulchre, and seeth the stone taken away from the
sepulchre.


MAT 28:2  And, behold, there was  a  great  earthquake:  for  the angel of the
Lord descended from heaven, and came and rolled back the stone from the door,
and sat upon it.
MAT 28:3  His countenance was like  lightning,  and  his  raiment white as
snow: MAT 28:4  And for fear of him the keepers did shake,  and  became as
dead men. MAT 28:5  And the angel answered and said unto  the  women,  Fear
not ye: for I know that ye seek Jesus, which was crucified.

MAR 16:5  And entering into the sepulchre, they saw a  young  man sitting  on 
the right side, clothed in a long white garment; and they were affrighted.

LUK 24:4  And it came  to  pass,  as  they  were  much  perplexed thereabout,
behold, two men stood by them in shining garments:

JOH 20:12  And seeth two angels in white sitting, the one at  the head,  and 
the  other  at  the feet, where the body of Jesus had lain.


Matthew says the guard was paid to tell this story, but no other gospel makes
this claim.


Matthew says an angel at the tomb told the two Marys and that Jesus also told
them, to tell the disciples to meet him in Galilee.  The disciples then went
to a mountain previously agreed opon, and met Jesus there.  This was his only
appearance, except to the women at the tomb.  Matthew only devotes five verses
to the visit with the disciples.

Mark says that Jesus walked with two of the disciples in the country, and that
they told the rest of the disciples, who refused to believe.  Later he
appeared to the 11 disciples at mealtime.

Luke says two followers went, the same day that Jesus rose from the dead, to
Emmaus, a village eight miles from Jeruselem, and there Jesus jioned them but
was unrecognised.  While they ate a meal together that evening, they finally
recognised Jesus, whereopon he dissapeared.  Returning at once to Jeruselem,
they told the
disciples of their experience, and suddenly Jesus appeared among them,
frightening them, as they thought he was a spirit.  Jesus then ate some fish
and honey and then preached to them.

John says Jesus appeared to the disciples the evening of the day he arrose, in
Jeruselem, where they were hiding.  He breathed the Holy Ghost opon them, but
Thomas was not present and refused to believe. Eight days later Jesus joined
the disciples again at the same place and this time he convinced Thomas.	Once
more Jesus made an
appearance to the disciples at the sea of Tiberias but again was not
recognised.
 After telling them to cast their netson the other side of the boat, Jesus
becomes known to them and prepares bread and fish for them.  They all eat
together and converse.

The book of acts further adds to the confusion.  It says that Jesus showed
himself to the apostles for a period of 40 days after his resurection (thus
contradicting Matthew, Mark, Luke AND John) and spoke to them of things
pertaining to the kingdom of God: ""And when he had spoken these things, while
they beheld, he was taken up; and a cloud recieved him out of their sight. 
And while they looked steadfastly toward heaven as he went up, two men stood
by them in white apparel: Which also said, Ye men of Galilee, why stand ye
gazing into heaven? This same Jesus, which is taken from you into heaven,
shall so comein like manneras ye have seen him go into heaven"" Acts 1:3-11

Paul outdoes every other ""authority"" by saying that Jesus was seen by 500
persons between the time of the resurection and the
assension, although he does not say where.	He also claims that he himself ""as
one born out of due time"" also saw Jesus. 1 Cor 15:6-8.


Matthew says nothing about it.	Mark casually says that Jesus was recieved into
heaven after he was finished talking with the
disciples in Jeruselem.  Luke says Jesus led the desciples to Bethany and that
while he blessed them, he was parted from them and carried up into heaven. 
John says nothing about it.  Acts
contradicts all of the above.  (See previous section)


MAT 24:34  Verily I say unto you, This generation shall not pass, till all
these things be fulfilled.

MAR 13:30  Verily I say unto you, that this generation shall  not pass, till
all these things be done.

LUK 21:32  Verily I say unto you, This generation shall not  pass away, till
all be fulfilled.

1 thessalonians 4:15-18

1 Corinthians 15:5 (12)
Matthew 27:3-5 (minus one from 12)
Acts 1:9-26 (Mathias not elected until after resurrection)
MAT 28:16  Then the eleven disciples went away into Galilee, into a mountain
where Jesus had appointed them.

	""And Elijah went up by a whirlwind into heaven."" (2 Kings 2:11)

	""No man hath ascended up to heaven but he that came down from heaven, 	...
the Son of Man."" (John 3:13)

As you can see, there are a number of contradictions in the account of the
trial, crucifiction and resurection of Jesus.  If these are good witnesses,
you would think that they could get SOME of these important details right! 
(In fact, I cannot find very many points on where they AGREE.  You would think
that they could at least agree on some of the points they were supposedly
observing!) Because of the fact that there is so much contradiction and error,
the story of the resurection as presented cannot be taken as literal truth.
(Due to the nature of the story, I doubt if it should be taken as ANY sort of
truth.)",0,alt.atheism
": The willingness of true believers
: to die for their belief, be it in Jesus or Jim Jones, is
: well-documented, so martyrdom in and of itself says little.

It does say something about the depth of their belief.  Religion has
both deluded believers and con men.  The difference is often how far
they will follow their beliefs.

I have no first hand, or even second hand, knowledge of how the 
original apostles died.  If they began a myth in hopes of exploiting
it for profit, and followed that myth to the death, that would be
inconsistent.  Real con men would bail out when it was obvious it would 
lead to discomfort, pain and death.",0,alt.atheism
"
Knowing Keith, I expect he'll bring the leather accessories.

Better oil it well.  Leather cracks when it dries.",0,alt.atheism
"
""Manufacturing Consent,"" a film about the media. You alternative movie source
may have this; or to book it in your local alternative theatre, contact:

FILMS TRANSIT * INTERNATIONAL SALES
Jan Rofekamp
402 Notre Dame E.
Montreal, Quebec
Canada H2Y 1C8
Tel (514) 844-3358 * Fax (514) 844-7298
Telex 5560074 Filmtransmtl

(US readers: call Zeitgeist Films at 212 274 1989.)

-s",0,alt.atheism
"
Size of armies, duration, numbers of casualties both absolute and as a
percentage of those involved, geographical area and numbers of countries
too, are all measures of size.  In this case I'd say the relevant
statistic would be the number of combatants (total troops) compared to
total casualties from among the total civilian population in the
affected geographical area.


Vietnam and Korea might make good comparisons.


Western news in general, but in particular the American ""mass media"":
CBS, NBC, ABC, etc.  The general tone of the news during the whole
war was one of ""those poor, poor Iraqis"" along with ""look how precisely
this cruise missile blew this building to bits"".


I agree.


Perhaps so.  And maybe the atomic bomb was a mistake too.  But that's easy
to say from our ""enlightened"" viewpoint here in the 90's, right?  Back
then, it was *all-out* war, and Germany and Japan had to be squashed.
After all, a million or more British had already died, hundreds of 
thousands of French, a couple hundread thousand or so Americans, and 
millions of Russians, not to mention a few million Jews, Poles, and 
other people of slavic descent in German concentration camps.  All 
things considered, the fire-bombings and the atomic bomb were
essential (and therefore justified) in bringing the war to a quick
end to avoid even greater allied losses.

I, for one, don't regret it.


Sure.  And it's the people who suffer because of them.  All the more
reason to depose these ""entrenched political rulers operating in their
own selfish interests""!  Or do you mean that this applies to the allies
as well??


I make no claim or effort to justify the misguided foreign policy of the
West before the war.  It is evident that the West, especially America,
misjudged Hussein drastically.  But once Hussein invaded Kuwait and 
threatened to militarily corner a significant portion of the world's
oil supply, he had to be stopped.  Sure the war could have been
prevented by judicious and concerted effort on the part of the West
before Hussein invaded Kuwait, but it is still *Hussein* who is
responsible for his decision to invade.  And once he did so, a
strong response from the West was required.


Well, it's not very ""loving"" to allow a Hussein or a Hitler to gobble up
nearby countries and keep them.  Or to allow them to continue with mass
slaughter of certain peoples under their dominion.  So, I'd have to
say yes, stopping Hussein was the most ""loving"" thing to do for the
most people involved once he set his mind on military conquest.

I mentioned it.

If we hadn't intervened, allowing Hussein to keep Kuwait, then it would
have been appeasement.  It is precisely the lessons the world learned
in WW2 that motivated the Western alliance to war.  Letting Hitler take
Austria and Czechoslavkia did not stop WW2 from happening, and letting
Hussein keep Kuwait would not have stopped an eventual Gulf War to
protect Saudi Arabia.


Sure.  What was truly unfortunate was that they followed Hitler in
his grandiose quest for a ""Thousand Year Reich"".  The consequences
stemmed from that.

What should I say about them?  Anything in particular?



So?  It was the *policemen* on trial not Rodney King!!  And under American
law they deserved a jury of *their* peers!  If there had been black
officers involved, I'm sure their would have been black jurors too.
This point (of allegedly racial motivations) is really shallow.


So?  It's ""hard to imagine""?  So when has Argument from Incredulity
gained acceptance from the revered author of ""Constructing a Logical
Argument""?  Can we expect another revision soon??  :)  (Just kidding.)


I have to admit that I wonder this too.  But *neither* the prosecution
nor the defense is talking.  So one cannot conclude either way due to
the silence of the principals.  


OK.  It certainly seemed to me that there was excessive force involved.
And frankly, the original ""not guilty"" verdict baffled me too.  But then
I learned that the prosecution in the first case did not try to convict
on a charge of excessive force or simple assault which they probably
would have won, they tried to get a conviction on a charge of aggravated
assault with intent to inflict serious bodily harm.  A charge, which
news commentators said, was akin to attempted murder under California
law.  Based on what the prosecution was asking for, it's evident that 
the first jury decided that the officers were ""not guilty"".  Note, 
not ""not guilty"" of doing wrong, but ""not guilty"" of aggravated assault 
with the *intent* of inflicting serious bodily harm.  The seeds of the 
prosecutions defeat were in their own overconfidence in obtaining a 
verdict such that they went for the most extreme charge they could.

If the facts as the news commentators presented them are true, then
I feel the ""not guilty"" verdict was a reasonable one.


Thanks mathew, I like the quote.  Pretty funny actually.  (I'm a 
Monty Python fan, you know.  Kind of seems in that vein.)

Of course, oversimplifying any moral argument can make it seem
contradictory.  But then, you know that already.  

Regards,",0,alt.atheism
"Kent Sandvik and Jon Livesey made essentially the same response, so this
time Kent's article gets the reply:


This begs the question of whether it ever ""started""-- perhaps because
accuracy was always an intention.


It makes little difference if you have eyewitnesses or people one step away
(reporters, if you will).  As I said earlier, the ""telephone"" metaphor is
innately bad, because the purpose of a game of telephone is contrary to the
aims of writing these sorts of texts.  (Also, I would point out that, by the
standards generally asserted in this group, the distinction between
eyewitnesses and others is hollow, since nobody can be shown to be an
eyewitness, or indeed, even shown to be the author of the text.)

There is no evidence that the ""original"" texts of either the OT or the NT
are largely lost over time in a sea of errors, ""corrections"", additions and
deletions.  In the case of the NT, the evidence is strongly in the other
direction: the Textus R. and the Nestle-Aland text do not differ on more
than a low level of significance.  It is reasonable to assume a similar
situation for the OT, based on the NT as a model.",0,alt.atheism
"
Poor Matthew.   A million posters to call ""you car drivers"" and he
chooses me, a non car owner.",0,alt.atheism
"
	That is not an ""atheism mythology"" in any sense of the word.
""Religious paradoy"" would be significantly more appropriate.

	The 2nd part is rendered null and void by the simple fact that I
do know several ""strong"" atheists. I am sure that others do. I myself am
""strong"" in the sense that I find the standard concept of God without any
meaning. Any attempt to bring meaning either results in the destruction of 
the viability of language, or in internal self contradiction. 

	The concept of strong atheism is not just a whimsical fantasy. They, 
and I, exist.

	Your strawman is pointless and weak.

---

Private note to Jennifer Fakult.

        ""This post may contain one or more of the following:
         sarcasm, cycnicism, irony, or humor. Please be aware 
         of this possibility and do not allow yourself to be 
         confused and/or thrown for a loop. If in doubt, assume
         all of the above.",0,alt.atheism
"[This is SWF in another indirect post via Dan].

predicitions
if you
have some
many types of
happen again
may predict
reaction

There are several problems here. First, you are discussing only
experimental procedures. Observational procedures are also useful.  The
main criterion is attempting to verify an idea by using it to make
prediction about as-yet unmade observations. The observations could be
the result of an experiment, or they could be obsevations of activity
occuring spontaneossly in nature, or they could even be observations of
the lasting results of events long past. All that matters is that the
observations be *new*.  This is what prediction is about in science -
it is
*not* about predicting the future except in this very restricted
sense.

Secondly, repeatability can also take many forms.  It is really just
the
requirement that independent observers be able to verify the results.
The
observation of a fossil is 'repeatable', since any qualified observer
may
look at it (this is why the specimens are reqtined in a museum).  Also,
there is the implicit prediction that future fossil finds will
correspond
to the current one.  New fossils are found often enough that this is
tested regularly.  Many times a new fossil actually falsifies some
conclusion made on the basis of previous fossils.

Unfortunately for you, the models that were falsified have alway been
peripheral to the model of evolution we now have.  (For instance, the
front legs of Tyrannosaurus rex turned out to have tremendous muscles,
rather than being weakly endowed as previously believed).

So, in fact, histoircal science findings *are* repeatable in the
necessary sense.  Just becuase you cannot go out and repeat the
original
event does *not* make it impossible to make valid observations.

[This is not to say that biologists would not go coo-coo if extra-
terrestrial life were discovered - that could make the determination
of the process of abiogenesis relatively easy].

--
sarima@teradata.com                     (formerly tdatirv!sarima)
  or
Stanley.Friesen@ElSegundoCA.ncr.com",0,alt.atheism
